,QQQ US Equity,QQQ US Equity,QQQ US Equity,QQQ US Equity
DATES,DROPNA(PX_OPEN),DROPNA(PX_HIGH),DROPNA(PX_LOW),DROPNA(PX_LAST)
6/7/2010,45.34,45.46,44.22,44.27
6/8/2010,44.37,44.48,43.59,44.19
6/9/2010,44.48,44.91,43.69,43.82
6/10/2010,44.39,45.12,44.24,45.07
6/11/2010,44.63,45.54,44.61,45.5
6/14/2010,45.91,46.24,45.41,45.49
6/15/2010,45.71,46.77,45.4531875,46.71
6/16/2010,46.58,47.14,46.5,46.9
6/17/2010,47.16,47.18,46.64,47.05
6/18/2010,47.06,47.34,46.86,47
6/21/2010,47.6,47.68,46.33,46.6
6/22/2010,46.79,47.14,46.15,46.24
6/23/2010,46.29,46.47,45.69,46.05
6/24/2010,45.84,45.99,45.2,45.35
6/25/2010,45.51,45.66,44.95,45.27
6/28/2010,45.29,45.55,44.81,45.11
6/29/2010,44.42,44.46,43.07,43.37
6/30/2010,43.23,43.67,42.64,42.71
7/1/2010,42.82,42.96,41.77,42.59
7/2/2010,42.67,42.8215,42.09,42.47
7/6/2010,43.09,43.37,42.25,42.6
7/7/2010,42.74,44.01,42.7,43.96
7/8/2010,44.3096875,44.38,43.68,44.2
7/9/2010,44.18,44.63,44.08,44.62
7/12/2010,44.58,45.03,44.46,44.75
7/13/2010,45.13,45.5,44.8,45.33
7/14/2010,45.42,45.81,45.24,45.56
7/15/2010,45.46,45.74,44.99,45.6
7/16/2010,45.44,45.628125,44.3,44.34
7/19/2010,44.48,44.81,44.1,44.72
7/20/2010,43.99,45.26,43.86,45.26
7/21/2010,45.75,45.76,44.56,44.64
7/22/2010,45.26,45.98,45.24,45.77
7/23/2010,45.46,46.1,45.38,46.06
7/26/2010,46.12,46.46,45.91,46.44
7/27/2010,46.69,46.72,46.21,46.42
7/28/2010,46.38,46.58,45.88,46.05
7/29/2010,46.3,46.41,45.25,45.71
7/30/2010,45.36,46.09,45.07,45.81
8/2/2010,46.38,46.79,46.210125,46.67
8/3/2010,46.63,46.7,46.25,46.47
8/4/2010,46.69,46.99,46.5,46.938
8/5/2010,46.72,46.92,46.52,46.83
8/6/2010,46.32,46.85,46.05,46.76
8/9/2010,47.01,47.19,46.79,47.08
8/10/2010,46.72,46.95,46.28,46.6725
8/11/2010,45.91,45.92,45.21,45.4
8/12/2010,44.56,45.24,44.45,45.04
8/13/2010,44.87,45.06,44.71,44.72
8/16/2010,44.48,45.11,44.3,44.8
8/17/2010,45.11,45.78,45.03,45.372
8/18/2010,45.29,45.82,45.11,45.55
8/19/2010,45.29,45.46,44.56,44.86
8/20/2010,44.79,45.03,44.54,44.92
8/23/2010,45.25,45.34,44.46,44.48
8/24/2010,44.01,44.12,43.465,43.65
8/25/2010,43.35,44.26,43.27,44.07
8/26/2010,44.24,44.32,43.5,43.54
8/27/2010,43.86,44.16,42.97,44.07
8/30/2010,43.87,44.25,43.6,43.61
8/31/2010,43.39,43.85,43.18,43.46
9/1/2010,44.1,44.91,44.07,44.76
9/2/2010,44.84,45.28,44.73,45.26
9/3/2010,45.73,46.02,45.55,46.01
9/7/2010,45.82,46.03,45.625,45.7
9/8/2010,45.84,46.45,45.82,46.25
9/9/2010,46.67,46.7,46.32,46.43
9/10/2010,46.49,46.67,46.25,46.6
9/13/2010,46.95,47.37,46.94,47.25
9/14/2010,47.17,47.7,47.08,47.45
9/15/2010,47.35,47.8,47.19,47.75
9/16/2010,47.68,47.98,47.54,47.94
9/17/2010,48.14,48.14,47.75,47.995
9/20/2010,48.18,48.93,48.110125,48.829875
9/21/2010,48.84,49.17,48.61,48.82
9/22/2010,48.61,49.021,48.42,48.69
9/23/2010,48.39,49.16,48.32,48.67
9/24/2010,49.22,49.69,49.15,49.66
9/27/2010,49.65,49.75,49.35,49.39
9/28/2010,49.51,49.54,48.59,49.37
