,SPY US Equity,SPY US Equity,SPY US Equity,SPY US Equity
DATES,DROPNA(PX_OPEN),DROPNA(PX_HIGH),DROPNA(PX_LOW),DROPNA(PX_LAST)
6/2/2010,108.08,110.34,107.509125,110.33
6/3/2010,110.65,111.06,109.58,110.71
6/4/2010,108.61,109.33,106.465,106.82
6/7/2010,107.2,107.61,105.41,105.49
6/8/2010,105.57,106.83,104.65,106.62
6/9/2010,107.24,108.28,105.6,106.05
6/10/2010,107.86,109.28,106.042625,109.15
6/11/2010,108.19,109.75,108.12,109.68
6/14/2010,110.52,111.12,109.4,109.509
6/15/2010,110.28,112.1,110.09,112
6/16/2010,111.42,112.42,111.2,111.96
6/17/2010,112.28,112.33,111.05,112.14
6/18/2010,111.83,112.13,111.37,111.729
6/21/2010,113.12,113.2,110.79,111.41
6/22/2010,111.41,111.9,109.41,109.57
6/23/2010,109.64,110.03,108.48,109.23
6/24/2010,108.69,108.83,107.14,107.42
6/25/2010,107.74,108.42,106.77,107.8675
6/28/2010,108.03,108.32,107.14,107.53
6/29/2010,106.02,107.511375,103.55,104.21
6/30/2010,103.92,104.88,102.88,103.22
7/1/2010,103.15,103.49,101.13,102.76
7/2/2010,103.11,103.42,101.62,102.2
7/6/2010,103.64,104.37,101.88,102.87
7/7/2010,103.13,106.24,103.02,106.1075
7/8/2010,107,107.28,105.91,107.16
7/9/2010,107.13,107.97,106.93,107.96
7/12/2010,107.6,108.24,107.15,108.03
7/13/2010,109.15,110.09,108.93,109.66
7/14/2010,109.31,110.08,108.86,109.651
7/15/2010,109.61,110.06,108.17,109.68
7/16/2010,109.09,109.205875,106.45,106.66
7/19/2010,107.05,107.63,106.22,107.29
7/20/2010,105.87,108.56,105.82,108.48
7/21/2010,109.04,109.07,106.63,107.07
7/22/2010,108.34,109.94,108.33,109.461
7/23/2010,109.24,110.57,108.93,110.41
7/26/2010,110.6,111.67,110.29,111.56
7/27/2010,112.17,112.29,111.11,111.55
7/28/2010,111.32,111.66,110.46,110.83
7/29/2010,111.52,111.82,109.41,110.29
7/30/2010,109.17,110.86,108.98,110.27
8/2/2010,111.99,112.94,111.54,112.76
8/3/2010,112.48,112.77,111.85,112.22
8/4/2010,112.53,113.11,112.16,112.97
8/5/2010,112.25,112.91,112.08,112.85
8/6/2010,111.74,112.57,110.92,112.392
8/9/2010,112.92,113.18,112.32,112.992
8/10/2010,112.03,112.98,111.370125,112.375
8/11/2010,110.65,110.69,109.12,109.3
8/12/2010,107.65,109.02,107.6,108.63
8/13/2010,108.29,108.96,108.18,108.31
8/16/2010,107.57,108.61,107.18,108.26
8/17/2010,109.19,110.39,108.88,109.59
8/18/2010,109.54,110.38,108.91,109.79
8/19/2010,109.22,109.49,107.43,107.88
8/20/2010,107.56,107.937625,106.749875,107.53
8/23/2010,108.04,108.57,107.07,107.123625
8/24/2010,105.95,106.39,104.97,105.53
8/25/2010,104.95,106.34,104.29,105.94
8/26/2010,106.44,106.58,104.88,105.23
8/27/2010,105.89,106.97,104.31,106.86
8/30/2010,106.58,106.91,105.3,105.311
8/31/2010,104.92,105.98,104.49,105.31
9/1/2010,106.73,108.61,106.66,108.46
9/2/2010,108.72,109.49,108.49,109.47
9/3/2010,110.54,110.99,109.95,110.89
9/7/2010,110.37,110.51,109.55,109.64
9/8/2010,109.86,110.85,109.81,110.41
9/9/2010,111.65,111.68,110.62,110.92
9/10/2010,111.12,111.61,110.87,111.482
9/13/2010,112.58,112.95,112.13,112.72
9/14/2010,112.5,113.29,112.08,112.65
9/15/2010,112.32,113.21,111.98,113.08
9/16/2010,112.73,113.12,112.35,113.05
9/17/2010,113.04,113.15,112.18,112.49
9/20/2010,112.88,114.46,112.521625,114.21
9/21/2010,114.3,114.84,113.51,113.98
9/22/2010,113.8,114.44,113.1,113.42
9/23/2010,112.49,113.67,112.18,112.498
9/24/2010,113.75,114.9,113.65,114.82
9/27/2010,114.86,114.99,114.16,114.27
9/28/2010,114.42,115.04,113.18,114.67
9/29/2010,114.38,114.91,114.02,114.47
9/30/2010,115.05,115.79,113.59,114.13
10/1/2010,114.99,115.12,113.93,114.61
10/4/2010,114.37,114.85,113.18,113.75
10/5/2010,114.8,116.32,114.67,116.04
10/6/2010,116.02,116.33,115.56,116.03
10/7/2010,116.5,116.53,115.19,115.89
10/8/2010,116.05,116.86,115.61,116.5375
10/11/2010,116.72,116.97,116.25,116.65
10/12/2010,116.27,117.35,115.65,117.01
10/13/2010,117.66,118.55,117.38,117.92
10/14/2010,117.809875,118.01,116.72,117.46
10/15/2010,118.28,118.35,116.76,117.7
10/18/2010,117.74,118.67,117.31,118.28
10/19/2010,117.19,117.85,116.02,116.73
10/20/2010,116.94,118.44,116.87,117.87
10/21/2010,118.4,119.09,117.21,118.13
10/22/2010,118.31,118.53,118,118.347
10/25/2010,119.14,119.76,118.61,118.7
10/26/2010,118.1,118.84,117.87,118.72
10/27/2010,117.89,118.51,117.26,118.38
10/28/2010,119.06,119.11,117.83,118.4
10/29/2010,118.28,118.72,118.07,118.49
11/1/2010,119.07,119.75,117.85,118.53
11/2/2010,119.42,119.75,119.1,119.475
11/3/2010,119.675,120.02,118.45,119.95
11/4/2010,121.28,122.32,119.972375,122.26
11/5/2010,122.34,122.92,122.18,122.725
11/8/2010,122.34,122.69,121.94,122.49
11/9/2010,122.82,122.95,121.12,121.61
11/10/2010,121.58,122.16,120.66,122.1
11/11/2010,121.05,121.82,120.68,121.635
11/12/2010,120.82,121.35,119.65,120.198
11/15/2010,120.58,121.05,119.98,120.03
11/16/2010,119.29,119.49,117.59,118.16
11/17/2010,118.21,118.71,117.86,118.218
11/18/2010,119.36,120.39,119.35,119.9575
11/19/2010,119.9,120.34,119.25,120.29
11/22/2010,119.69,120.24,118.77,120.19
11/23/2010,118.77,119.015,117.99,118.4475
11/24/2010,119.2,120.23,119.18,120.2
11/26/2010,119.16,119.81,118.8,118.8
11/29/2010,118.5,119.48,117.74,119.162
11/30/2010,117.98,119.17,117.81,118.4925
12/1/2010,120.2,121.24,120.19,121.01
12/2/2010,121.2,122.65,121.13,122.56
12/3/2010,122.14,123.03,122.11,122.89
12/6/2010,122.63,123.04,122.5,122.76
12/7/2010,123.94,124.01,122.76,122.83
12/8/2010,122.98,123.38,122.41,123.28
12/9/2010,123.97,124.02,123.15,123.76
12/10/2010,124.14,124.6,123.73,124.48
12/13/2010,125.05,125.2,124.52,124.56
12/14/2010,124.75,125.23,124.29,124.67
12/15/2010,124.44,124.93,123.89,124.098
12/16/2010,124.18,124.91,123.75,124.82
12/17/2010,124.08,124.46,123.82,124.3
12/20/2010,124.64,124.9,123.98,124.6
12/21/2010,124.99,125.47,124.87,125.39
12/22/2010,125.48,125.82,125.41,125.78
12/23/2010,125.64,125.78,125.29,125.6
12/27/2010,125.13,125.77,125.04,125.65
12/28/2010,125.9,125.95,125.5,125.83
12/29/2010,125.98,126.2,125.9,125.92
12/30/2010,125.8,126.13,125.53,125.72
12/31/2010,125.53,125.87,125.33,125.75
1/3/2011,126.71,127.6,125.696875,127.05
1/4/2011,127.33,127.37,126.19,126.98
1/5/2011,126.58,127.725,126.46,127.64
1/6/2011,127.69,127.83,127.01,127.39
1/7/2011,127.56,127.77,126.15,127.14
1/10/2011,126.58,127.16,126.2,126.98
1/11/2011,127.44,127.74,126.95,127.43
1/12/2011,128.21,128.72,127.462125,128.58
1/13/2011,128.63,128.69,128.05,128.3675
1/14/2011,128.19,129.33,128.1,129.3
1/18/2011,129.18,129.64,129.03,129.52
1/19/2011,129.41,129.5356875,127.91,128.25
1/20/2011,127.96,128.4,127.13,128.08
1/21/2011,128.88,129.17,128.23,128.37
1/24/2011,128.285,129.25,128.26,129.1
1/25/2011,128.76,129.28,128.11,129.17
1/26/2011,129.49,130.05,129.23,129.67
1/27/2011,129.7,130.21,129.47,129.99
1/28/2011,130.14,130.35,127.51,127.72
1/31/2011,128.07,128.78,127.75,128.68
2/1/2011,129.46,130.97,129.380125,130.74
2/2/2011,130.4,130.84,130.33,130.485
2/3/2011,130.26,130.98,129.57,130.78
2/4/2011,130.83,131.2,130.23,131.15
2/7/2011,131.44,132.4,131.43,131.97
2/8/2011,132.09,132.64,131.73,132.57
2/9/2011,132.21,132.63,131.61,132.269
2/10/2011,131.6,132.47,131.3,132.321
2/11/2011,131.8,133.28,131.77,133.11
2/14/2011,133.03,133.54,132.88,133.43
2/15/2011,133.02,133.22,132.3166875,133.01
2/16/2011,133.46,134.01,133.19,133.85
2/17/2011,133.46,134.43,133.34,134.25
2/18/2011,134.37,134.69,134.06,134.53
2/22/2011,133.12,134.5615,131.47,131.83
2/23/2011,131.75,132.07,130.21,131.02
2/24/2011,130.88,131.44,129.7,130.93
2/25/2011,131.48,132.41,131.4,132.33
2/28/2011,132.82,133.32,132.38,133.15
3/1/2011,133.57,133.69,130.89,130.93
3/2/2011,130.75,131.82,130.35,131.21
3/3/2011,132.4,133.62,132.39,133.47
3/4/2011,133.37,133.63,131.6,132.47
3/7/2011,132.86,133.159375,130.735,131.43
3/8/2011,131.64,133,131.07,132.58
3/9/2011,132.32,132.8,131.6,132.39
3/10/2011,131,131.18,129.81,129.9375
3/11/2011,129.52,131.31,129.49,130.84
3/14/2011,129.99,130.48,129.06,130.05
3/15/2011,126.59,129.33,126.5,128.56
3/16/2011,128.15,128.57,125.28,126.175
3/17/2011,128,128.39,127.1,127.85
3/18/2011,128.84,128.88,127.51,127.76
3/21/2011,129.35,130.01,129.2,129.74
3/22/2011,129.72,129.89,129.17,129.29
3/23/2011,128.93,130,128.32,129.66
3/24/2011,130.4,131.09,129.67,130.9
3/25/2011,131.24,131.87,130.892125,131.3
3/28/2011,131.58,131.92,130.94,130.98
3/29/2011,130.87,131.9,130.44,131.86
3/30/2011,132.55,133.16,132.36,132.77
3/31/2011,132.6,132.96,132.45,132.59
4/1/2011,133.41,133.77,132.83,133.15
4/4/2011,133.43,133.67,132.88,133.26
4/5/2011,133,133.83,132.94,133.24
4/6/2011,133.88,134,133.12,133.66
4/7/2011,133.42,133.9775,132.66,133.32
4/8/2011,133.91,133.99,132.31,132.86
4/11/2011,133,133.45,132.14,132.46
4/12/2011,131.72,131.98,130.99,131.47
4/13/2011,132.08,132.18,130.96,131.46
4/14/2011,130.7,131.76,130.27,131.56
4/15/2011,131.8,132.37,131.41,132.04
4/18/2011,130.59,132.030125,129.51,130.56
4/19/2011,130.76,131.35,130.44,131.31
4/20/2011,132.88,133.39,132.79,133.1
4/21/2011,133.79,133.84,133.104625,133.78
4/25/2011,133.68,133.86,133.2,133.64
4/26/2011,134.05,135.06,133.91,134.791
4/27/2011,135.05,135.87,134.5,135.67
4/28/2011,135.43,136.29,135.41,136.11
4/29/2011,136.16,136.57,135.98,136.43
5/2/2011,137.07,137.18,135.95,136.22
5/3/2011,135.96,136.19,135.045,135.73
5/4/2011,135.67,135.73,134.23,134.83
5/5/2011,134.08,134.95,133.02,133.61
5/6/2011,134.94,135.63,133.22,134.2
5/9/2011,134.19,135.11,133.98,134.72
5/10/2011,135.17,136.11,135,135.87
5/11/2011,135.67,135.69,133.82,134.44
5/12/2011,134.08,135.36,133.39,135.08
5/13/2011,135.15,135.34,133.56,134.04
5/16/2011,133.56,134.61,132.97,133.19
5/17/2011,132.69,133.35,132.12,133.17
5/18/2011,133.24,134.5,132.95,134.36
5/19/2011,134.8,135.03,133.94,134.68
5/20/2011,134.33,134.678125,133.36,133.61
5/23/2011,131.98,133.6475,131.59,132.06
5/24/2011,132.44,132.73,131.7,131.95
5/25/2011,131.42,132.94,131.38,132.39
5/26/2011,132.03,133.24,131.78,133
5/27/2011,133.37,133.87,132.9588125,133.51
5/31/2011,134.77,134.92,133.84,134.9
6/1/2011,134.51,134.923375,131.76,131.87
6/2/2011,131.96,132.24,130.96,131.73
6/3/2011,130.15,131.42,130.08,130.42
6/6/2011,130.09,130.36,128.87,129.045
6/7/2011,129.7,130.07,128.85,128.96
6/8/2011,128.76,129.19,128.18,128.42
6/9/2011,128.77,129.93,128.46,129.4
6/10/2011,128.85,128.93,127.26,127.6
6/13/2011,127.89,128.24,127.05,127.7
6/14/2011,128.87,129.77,128.82,129.32
6/15/2011,128.24,129.299125,126.68,127.02
6/16/2011,127.06,127.97,126.32,127.3
6/17/2011,127.93,127.94,126.62,127.05
6/20/2011,126.62,127.97,126.58,127.7
6/21/2011,128.36,129.7,127.7535,129.45
6/22/2011,129.05,129.81,128.59,128.67
6/23/2011,127.16,128.6360625,126.19,128.301
6/24/2011,128.27,128.37,126.62,126.81
6/27/2011,126.89,128.43,126.64,127.94
6/28/2011,128.45,129.63,128.27,129.61
6/29/2011,130.2,130.93,129.632125,130.72
6/30/2011,131.14,132.18,130.705,131.97
7/1/2011,132.09,134.1,131.78,133.92
7/5/2011,133.78,134.08,133.39,133.81
7/6/2011,133.49,134.14,133.11,133.97
7/7/2011,135.16,135.7,134.88,135.36
7/8/2011,133.83,134.4,133.39,134.4
7/11/2011,132.75,133.18,131.66,131.97
7/12/2011,131.69,132.78,131.36,131.4
7/13/2011,132.09,133.22,131.519,131.84
7/14/2011,132.17,132.78,130.68,130.93
7/15/2011,131.66,131.87,130.77,131.69
7/18/2011,131.08,131.28,129.63,130.61
7/19/2011,131.34,132.89,131.31,132.73
7/20/2011,133.07,133.15,132.42,132.65
7/21/2011,133.4,134.82,132.6693125,134.49
7/22/2011,134.52,134.72,133.76,134.58
7/25/2011,133.3,134.49,133.16,133.83
7/26/2011,133.74,133.96,133.03,133.33
7/27/2011,132.59,132.63,130.43,130.6
7/28/2011,130.6,131.77,130.01,130.22
7/29/2011,128.91,130.55,127.9666875,129.33
8/1/2011,130.84,130.96,127.53,128.78
8/2/2011,127.81,128.5,125.49,125.49
8/3/2011,125.66,126.31,123.53,126.17
8/4/2011,124.42,124.62,120.06,120.26
8/5/2011,121.76,122.07,116.86,120.08
8/8/2011,116.91,120.1218125,112.02,112.26
8/9/2011,114.07,117.64,110.27,117.48
8/10/2011,115.26,116.28,111.95,112.29
8/11/2011,113.26,118.92,112.317,117.33
8/12/2011,118.4,119.215,117.28,118.12
8/15/2011,119.19,120.74,119,120.62
8/16/2011,119.47,120.69,118.31,119.59
8/17/2011,120.25,121.2,118.72,119.67
8/18/2011,116.5,119.714,113.39,114.51
8/19/2011,112.96,115.88,112.5,112.64
8/22/2011,115.17,115.23,112.41,112.73
8/23/2011,113.15,116.5665,112.58,116.44
8/24/2011,116.19,118.24,115.92,118.08
8/25/2011,118.73,119.4,115.87,116.28
8/26/2011,115.69,118.51,113.85,117.97
8/29/2011,119.56,121.43,118.056875,121.36
8/30/2011,120.83,122.43,119.26,121.68
8/31/2011,122.46,123.51,121.3,122.22
9/1/2011,122.29,123.4,120.78,120.94
9/2/2011,118.42,120.872625,117.43,117.85
9/6/2011,114.39,117.16,114.38,116.99
9/7/2011,118.76,120.34,118.36,120.29
9/8/2011,119.57,120.94,118.77,119.04
9/9/2011,117.68,119.057,115.28,115.92
9/12/2011,114.47,116.76,114.05,116.67
9/13/2011,117.05,118.18,116.22,117.74
9/14/2011,118.34,120.8,116.72,119.37
9/15/2011,120.65,121.47,119.403375,121.43
9/16/2011,121.29,121.97,120.32,121.521
9/19/2011,119.53,120.93,118.72,120.31
9/20/2011,120.82,121.99,120.01,120.17
9/21/2011,120.23,120.6,116.44,116.63
9/22/2011,113.25,114.21,111.3,112.86
9/23/2011,112.11,114.16,112.02,113.54
9/26/2011,114.61,116.4,112.98,116.24
9/27/2011,118.53,119.56,116.84,117.54
9/28/2011,117.78,118.49,114.97,115.145
9/29/2011,117.05,117.63,113.93,116.05
9/30/2011,114.45,115.45,113.07,113.15
10/3/2011,112.49,113.95,109.81,109.93
10/4/2011,108.35,112.58,107.43,112.34
10/5/2011,112.62,114.72,111.58,114.42
10/6/2011,114.36,116.66,113.51,116.49
10/7/2011,117.17,117.245,115.06,115.71
10/10/2011,117.68,119.63,117.67,119.58
10/11/2011,118.87,120.04,118.75,119.7
10/12/2011,120.6,122.14,120.33,120.75
10/13/2011,120.04,120.87,119.12,120.51
10/14/2011,121.91,122.6,121.23,122.57
10/17/2011,121.99,122.5491875,119.93,120.23
10/18/2011,120.14,123.5,119.2,122.58
10/19/2011,122.38,123.08,120.71,121.13
10/20/2011,121.43,122.1,119.82,121.66
10/21/2011,123.09,124.12,122.72,123.97
10/24/2011,124.17,125.8,124.06,125.49
10/25/2011,124.89,124.95,122.78,123.049
10/26/2011,124.35,124.77,122.21,124.3
10/27/2011,127.63,129.42,124.3186875,128.63
10/28/2011,128,128.85,127.8,128.6
10/31/2011,127.16,128.623875,125.32,125.5
11/1/2011,122.03,123.51,121.52,122.002
11/2/2011,123.83,124.4,122.7905,123.99
11/3/2011,125.27,126.5,123.595,126.25
11/4/2011,125.23,125.7,124.01,125.481
11/7/2011,125.39,126.39,124.2,126.26
11/8/2011,126.92,128.02,125.71,127.88
11/9/2011,124.89,125.8,122.86,123.161
11/10/2011,124.79,124.94,123.02,124.32
11/11/2011,125.83,126.99,125.79,126.66
11/14/2011,126.19,127.45,124.92,125.46
11/15/2011,125.17,126.75,124.72,126.083
11/16/2011,124.81,126.34,123.9,124.08
11/17/2011,123.85,124.16,121.23,122.105
11/18/2011,122.5,122.75,121.47,121.979
11/21/2011,120.2,120.35,118.65,119.661
11/22/2011,119.4,120.1,118.52,119.19
